Alumina Hydrate,3.80,3.80,3.80,2.30,2.00,1.80,1.52,1.41,1.32
Alumina Oxide,3.70,3.70,3.70,2.20,1.90,1.70,1.43,1.33,1.24
Antimony Oxide,27.60,27.60,27.60,23.70,21.50,19.60,17.98,16.70,15.59
Barium Carbonate,3.50,3.50,3.50,2.00,1.70,1.50,1.26,1.17,1.10
Barium Sulphate,3.80,3.80,3.80,2.30,2.00,1.70,1.48,1.37,1.28
Bentonite 325 Mesh,2.50,2.50,2.50,1.00,0.70,0.60,0.46,0.42,0.40
Bentonite Macaloid (Beneficiated Bentonite),14.30,14.30,14.30,11.80,10.60,9.60,8.77,8.14,7.60
Bentonite White (Bentolite L10),2.80,2.80,2.80,1.40,1.20,1.00,0.83,0.77,0.72
Bone Ash (dical. phos.),3.30,3.30,3.30,1.80,1.50,1.30,1.12,1.04,0.98
Borax Powder,3.60,3.60,3.60,2.20,1.80,1.60,1.38,1.29,1.20
Burnt Umber,6.80,6.80,6.80,5.00,4.40,4.00,3.58,3.33,3.11
Calcium Borate (Cadycal) UNTIL GONE,4.30,4.30,4.30,2.80,2.40,2.10,1.85,1.71,1.60
Calcium Carbonate (Whiting),2.50,2.50,2.50,1.00,0.60,0.42,0.23,0.21,0.20
Cerium Oxide UNTIL GONE,17.20,17.20,17.20,14.40,12.90,11.80,10.77,10.00,9.34
Chromium Oxide,18.80,18.80,18.80,15.80,14.20,13.00,11.86,11.01,10.28
CLAY BALL Kentucky OM-4,2.50,2.50,2.50,1.00,0.60,0.42,0.28,0.26,0.24
CLAY BALL Old Hickory M23,2.50,2.50,2.50,1.00,0.60,0.42,0.26,0.24,0.23
CLAY BALL Tennessee SGP#1,2.50,2.50,2.50,1.00,0.60,0.42,0.28,0.26,0.25
CLAY BALL XX Saggar,2.50,2.50,2.50,1.00,0.60,0.42,0.28,0.26,0.25
CLAY FIRE Amador,2.50,2.50,2.50,1.00,0.60,0.42,0.15,0.14,0.14
CLAY FIRE Gold Art,2.50,2.50,2.50,1.00,0.60,0.50,0.36,0.33,0.32
CLAY FIRE GreenStripe,2.50,2.50,2.50,1.00,0.60,0.42,0.15,0.14,0.14
CLAY FIRE IMC 400 or 800,2.50,2.50,2.50,1.00,0.60,0.42,0.17,0.16,0.15
CLAY FIRE Lincoln 8 or 60,2.50,2.50,2.50,1.00,0.60,0.42,0.15,0.14,0.14
CLAY FIRE Missouri-Hawthorn Bond,2.50,2.50,2.50,1.00,0.60,0.50,0.33,0.31,0.29
CLAY Kaolin (China Clay) #6 Tile ,2.50,2.50,2.50,1.00,0.70,0.50,0.38,0.36,0.34
CLAY Kaolin (China Clay) Calcined Glomax (55#) ,3.50,3.50,3.50,2.00,1.70,1.50,1.26,1.17,1.10
CLAY Kaolin (China Clay) EPK,2.50,2.50,2.50,1.00,0.70,0.60,0.41,0.38,0.36
CLAY Kaolin (China Clay) Grolleg English (55#),2.60,2.60,2.60,1.20,1.00,0.80,0.65,0.60,0.56
CLAY Kaolin (China Clay) Helmer,2.50,2.50,2.50,1.00,0.80,0.60,0.47,0.44,0.41
CLAY Kaolin (China Clay) Ione,2.50,2.50,2.50,1.00,0.60,0.42,0.15,0.14,0.14
CLAY Kaolin (China Clay) Opticast,2.50,2.50,2.50,1.00,0.60,0.50,0.37,0.34,0.32
CLAY OTHER AlbertaSlipClay,3.50,3.50,3.50,2.00,1.70,1.50,1.29,1.20,1.12
CLAY OTHER Barnard Blackbird Sub.,2.80,2.80,2.80,1.40,1.10,1.00,0.79,0.74,0.69
CLAY OTHER PV Clay (Plastic Vitrox),2.50,2.50,2.50,1.00,0.60,0.42,0.25,0.23,0.22
CLAY OTHER Seattle Slip,3.30,3.30,3.30,1.90,1.60,1.40,1.15,1.07,1.00
CLAY RED C-Red Clay (Carbondale Red),2.50,2.50,2.50,1.00,0.60,0.42,0.27,0.25,0.24
CLAY RED Laterite,2.50,2.50,2.50,1.00,0.60,0.42,0.18,0.17,0.16
CLAY RED Newman Red,2.50,2.50,2.50,1.00,0.60,0.42,0.22,0.20,0.19
CLAY RED Red Art,2.50,2.50,2.50,1.00,0.70,0.50,0.38,0.36,0.34
Cobalt Carbonate,9.00,15.00,28.9,25.5,23.6,23.6,23.6,23.6,23.6
Cobalt Oxide,19.00,28.00,43.30,38.80,35.90,35.90,35.90,35.90,35.90
Cobalt Sulphate,26.20,26.20,26.20,22.50,20.30,18.50,17.02,15.80,14.75
Copper Carbonate,14.70,14.70,14.70,12.10,10.90,9.90,9.02,8.37,7.82
Copper Oxide Black,17.30,17.30,17.30,14.50,13.00,11.90,10.86,10.09,9.42
Copper Oxide Red,24.20,24.20,24.20,20.60,18.60,17.00,15.58,14.47,13.51
Copper Sulphate,12.80,12.80,12.80,10.40,9.30,8.40,7.69,7.14,6.67
Cornwall Stone Sub,2.50,2.50,2.50,1.10,0.90,0.80,0.60,0.56,0.52
Cryolite (Kryolite),5.30,5.30,5.30,3.70,3.20,2.90,2.55,2.36,2.21
Dolomite,2.50,2.50,2.50,1.00,0.60,0.42,0.26,0.24,0.23
Feldspar Custer (Potash),2.50,2.50,2.50,1.00,0.70,0.50,0.40,0.37,0.35
"Feldspar G-200 (Potash) ""NEW""",2.50,2.50,2.50,1.00,0.80,0.60,0.48,0.44,0.42
Feldspar Minspar-200 (Soda/Kona F4),2.50,2.50,2.50,1.00,0.70,0.50,0.38,0.35,0.33
Ferro Frit 3110,4.20,4.20,4.20,2.70,2.30,2.00,1.78,1.66,1.55
Ferro Frit 3124 O'Hommel 90,3.90,3.90,3.90,2.40,2.00,1.80,1.55,1.44,1.35
Ferro Frit 3124 Pemco P311,3.90,3.90,3.90,2.40,2.00,1.80,1.55,1.44,1.35
Ferro Frit 3124 Pemco P758,3.90,3.90,3.90,2.40,2.00,1.80,1.55,1.44,1.35
Ferro Frit 3134 O'Hommel 14,4.20,4.20,4.20,2.60,2.30,2.00,1.74,1.61,1.51
Ferro Frit 3134 Pemco J6,4.20,4.20,4.20,2.60,2.30,2.00,1.74,1.61,1.51
Ferro Frit 3134 Pemco P54,4.20,4.20,4.20,2.60,2.30,2.00,1.74,1.61,1.51
Ferro Frit 3195,4.50,4.50,4.50,2.90,2.50,2.20,1.97,1.83,1.71
Ferro Frit 3278,4.20,4.20,4.20,2.70,2.30,2.00,1.77,1.64,1.54
Ferro Frit 5301,4.90,4.90,4.90,3.30,2.90,2.50,2.25,2.09,1.95
Fluorspar,3.50,3.50,3.50,2.00,1.70,1.50,1.28,1.19,1.11
Gerstley Borate,2.70,2.70,2.70,1.30,1.10,0.90,0.72,0.67,0.63
Gum Arabic,9.75,9.75,17.20,14.40,12.90,12.90,12.90,12.90,12.90
Gum C.M.C.,7.50,7.50,20.20,17.10,15.40,15.40,15.40,15.40,15.40
Gum Vee Gum-T,7.25,7.25,15.30,12.60,11.40,11.40,11.40,11.40,11.40
Ilmenite Granular,3.70,3.70,3.70,2.20,1.90,1.70,1.45,1.34,1.26
Iron Chromate,3.20,3.20,3.20,1.80,1.50,1.30,1.08,1.01,0.94
Iron Oxide Black,6.90,6.90,6.90,5.10,4.50,4.10,3.65,3.39,3.17
Iron Oxide Red,6.00,6.00,6.00,4.30,3.70,3.40,2.99,2.78,2.60
Iron Spanish Red,2.90,2.90,2.90,1.50,1.30,1.10,0.89,0.83,0.78
Iron Yellow,7.20,7.20,7.20,5.40,4.80,4.30,3.86,3.59,3.35
Kyanite (200M),2.50,2.50,2.50,1.10,0.90,0.70,0.55,0.51,0.48
Lithium Carbonate,17.50,17.50,17.50,14.60,13.20,12.00,10.97,10.19,9.51
Magnesium Carbonate,7.40,7.40,7.40,5.50,4.90,4.40,3.98,3.69,3.45
Magnesium Sulphate (Epsom Salt),3.30,3.30,3.30,1.90,1.60,1.40,1.15,1.07,1.00
Magnetite Granular,2.50,2.50,2.50,1.00,0.80,0.70,0.52,0.49,0.46
Manganese Carbonate,10.20,10.20,10.20,8.10,7.20,6.50,5.94,5.51,5.15
Manganese Dioxide Granular 60-80M,3.80,3.80,3.80,2.30,2.00,1.80,1.52,1.41,1.32
Manganese Dioxide Powdered,3.10,3.10,3.10,1.70,1.40,1.20,1.02,0.94,0.89
Mica 325 Mesh,3.00,3.00,3.00,1.60,1.30,1.20,0.96,0.89,0.83
Mullite (200M),2.70,2.70,2.70,1.30,1.00,0.90,0.70,0.65,0.61
Nepheline Syenite,2.50,2.50,2.50,1.00,0.70,0.50,0.38,0.36,0.34
Nickel Carbonate,10.00,18.00,30.60,26.50,23.90,23.90,23.90,23.90,23.90
Nickel Oxide Black,15.00,28.00,50.80,44.60,40.40,40.40,40.40,40.40,40.40
"Ochre, Yellow",5.80,5.80,5.80,4.10,3.60,3.30,2.91,2.70,2.52
Petalite,4.00,4.00,4.00,2.40,2.10,1.80,1.60,1.49,1.39
Pumice (Volcanic Ash),2.50,2.50,2.50,1.10,0.90,0.70,0.55,0.51,0.48
Pyrophyllite (Pyrax HS),2.50,2.50,2.50,1.00,0.60,0.50,0.36,0.34,0.32
Rutile Powder,10.00,10.00,10.00,7.90,7.10,6.40,5.82,5.40,5.04
Silica (flint) 200 Mesh,2.50,2.50,2.50,1.00,0.60,0.42,0.25,0.24,0.22
Silica (flint) 325 Mesh,2.50,2.50,2.50,1.00,0.70,0.50,0.39,0.37,0.35
Silicon Carbide 400M,10.60,10.60,10.60,8.40,7.50,6.80,6.20,5.76,5.38
Sodium Bicarbonate,2.80,2.80,2.80,1.40,1.20,1.00,0.82,0.76,0.71
Sodium Carbonate (Soda Ash),2.70,2.70,2.70,1.30,1.10,0.90,0.74,0.69,0.64
Sodium Nitrate,3.90,3.90,3.90,2.40,2.00,1.80,1.55,1.44,1.35
Spodumene  ,3.40,3.40,3.40,2.00,1.70,1.40,1.23,1.14,1.07
Strontium Carbonate,3.90,3.90,3.90,2.40,2.00,1.80,1.54,1.43,1.34
Talc Pioneer 2882 (C98),2.50,2.50,2.50,1.00,0.60,0.42,0.24,0.22,0.21
Tin Chloride (Stannous),17.50,17.50,30.00,30.00,30.00,30.00,30.00,30.00,30.00
Tin Oxide,10.00,19.00,29.60,26.00,23.90,22.10,22.10,22.10,22.10
Titanium Dioxide,7.20,7.20,7.20,5.40,4.80,4.30,3.86,3.59,3.35
Vanadium Pentox,14.00,23.00,34.00,34.00,34.00,34.00,34.00,34.00,34.00
Volcanic Ash  (Pumice),2.50,2.50,2.50,1.10,0.90,0.70,0.55,0.51,0.48
Whiting  (Calcium Carbonate),2.50,2.50,2.50,1.00,0.60,0.42,0.23,0.21,0.20
Wollastonite,2.50,2.50,2.50,1.00,0.80,0.60,0.48,0.44,0.42
Zinc,7.00,7.00,7.00,5.20,4.60,4.10,3.71,3.44,3.22
Zircopax Plus (aka Superpax),4.30,4.30,4.30,2.80,2.40,2.10,1.84,1.71,1.60
